College_names,Year,applicants_total,applicants_men,applicants_women,admissions_total,admissions_men ,admissions_women
University of Washington-Seattle Campus,2010,21268,9793,11475,12264,5288,6976
Washington State University,2010,11604,5532,6072,8068,3762,4306
Arizona State University-Tempe,2009,27089,12955,14134,24473,11530,12943
Oregon State University,2009,8640,4412,4228,7270,3679,3591
Stanford University,2009,30429,15413,15016,2426,1260,1166
University of Arizona,2009,24756,11800,12956,19310,8948,10362
University of California-Berkeley,2009,48473,23145,25328,10404,4711,5693
University of California-Los Angeles,2009,55423,25006,30417,12659,5574,7085
University of Colorado Boulder,2009,19649,9827,9822,16514,8050,8464
University of Oregon,2009,15013,7320,7693,12801,6067,6734
University of Southern California,2009,35753,16635,19118,8724,4119,4605
University of Utah,2009,7890,3977,3913,6318,3089,3229
University of Washington-Seattle Campus,2009,20224,9511,10713,12327,5391,6936
Washington State University,2009,11795,5475,6320,8995,4070,4925
Arizona State University-Tempe,2008,24922,11953,12969,23504,11081,12423
Oregon State University,2008,8149,4159,3990,6971,3452,3519
Stanford University,2008,25299,12994,12305,2400,1248,1152
University of Arizona,2008,22544,10783,11761,18158,8366,9792
University of California-Berkeley,2008,44149,21053,23096,10251,4583,5668
University of California-Los Angeles,2008,50746,22671,28075,11960,5508,6452
University of Colorado Boulder,2008,23004,11403,11601,17933,8572,9361
University of Oregon,2008,11287,5283,6004,9813,4477,5336
University of Southern California,2008,35900,16586,19314,7875,3694,4181
University of Utah,2008,7244,3525,3709,5873,2803,3065
University of Washington-Seattle Campus,2008,19906,9338,10568,12094,5279,6815
Washington State University,2008,11326,5380,5946,8179,3812,4367
Arizona State University-Tempe,2007,20702,10093,10609,19133,9169,9964
Oregon State University,2007,9077,4625,4452,8387,4208,4179
Stanford University,2007,23958,12058,11900,2464,1225,1239
University of Arizona,2007,25449,12163,13185,19703,9083,10543
University of California-Berkeley,2007,41796,19748,22048,9932,4400,5532
University of California-Los Angeles,2007,47317,21305,26012,12188,5361,6827
University of Colorado Boulder,2007,19857,10027,9830,16187,7851,8336
University of Oregon,2007,10821,4931,5890,9531,4224,5307
University of Southern California,2007,33760,15494,18266,8453,4043,4410
University of Utah,2007,6557,3111,3446,5962,2790,3172
University of Washington-Seattle Campus,2007,17808,8319,9489,11511,5123,6388
Washington State University,2007,10853,5171,5682,8240,3925,4315
Arizona State University-Tempe,2006,20702,10093,10609,19133,9169,9964
Oregon State University,2006,6552,3257,3295,6078,2971,3107
Stanford University,2006,22333,11107,11226,2444,1211,1233
University of Arizona,2006,16609,7982,8606,14293,6670,7614
University of California-Berkeley,2006,37014,17726,19288,9817,4367,5450
University of California-Los Angeles,2006,42223,19039,23184,11361,4862,6499
University of Colorado Boulder,2006,18160,9123,9037,15960,7806,8154
University of Oregon,2006,10012,4525,5487,9048,4000,5048
University of Southern California,2006,33973,15728,18245,8634,4071,4563
University of Utah,2006,6701,3268,3433,5702,2751,2951
University of Washington-Seattle Campus,2006,15923,7553,8370,10681,4730,5951
Washington State University,2006,9314,4496,4818,7177,3389,3788
Arizona State University-Tempe,2005,19914,9398,10516,18126,8394,9732
Oregon State University,2005,6917,3470,3447,6224,3046,3178
Stanford University,2005,20195,10236,9959,2426,1249,1177
University of Arizona,2005,17904,8386,9518,15701,7155,8546
University of California-Berkeley,2005,36679,17442,19237,9041,4071,4970
University of California-Los Angeles,2005,43267,19581,23686,9949,4464,5485
University of Colorado Boulder,2005,17111,8462,8649,15003,7270,7733
University of Oregon,2005,9623,4284,5339,8749,3777,4972
University of Southern California,2005,31634,14575,17059,8418,4065,4352
University of Utah,2005,6251,3188,3063,5403,2755,2648
University of Washington-Seattle Campus,2005,15955,7561,8394,10694,4725,5969
Washington State University,2005,9193,4349,4844,6793,3136,3657
Arizona State University-Tempe,2004,20789,9639,11150,17899,8129,9770
Oregon State University,2004,7410,3722,3688,6529,3209,3320
Stanford University,2004,19172,9831,9341,2486,1304,1182
University of Arizona,2004,23725,11029,12696,19788,8966,10822
University of California-Berkeley,2004,37001,17756,19245,8833,3871,4962
University of California-Los Angeles,2004,44981,20207,24774,10577,4589,5988
University of Colorado Boulder,2004,19360,9807,9553,16425,8132,8293
University of Oregon,2004,10193,4639,5554,8602,3683,4919
University of Southern California,2004,29792,13468,16324,8037,3779,4258
University of Utah,2004,6251,3188,3063,5403,2755,2648
University of Washington-Seattle Campus,2004,15773,7504,8269,11156,4981,6175
Washington State University,2004,9463,4516,4947,7125,3223,3902
Arizona State University-Tempe,2003,19785,9192,10593,17490,7949,9541
Oregon State University,2003,5811,2927,2884,4379,2356,2023
Stanford University,2003,18628,9549,9079,2343,1198,1145
University of Arizona,2003,21185,9663,11522,18021,7980,10041
University of California-Berkeley,2003,36445,17623,18822,8707,3892,4815
University of California-Los Angeles,2003,43436,19517,23919,10454,4524,5930
University of Colorado Boulder,2003,20920,10422,10498,16790,8077,8713
University of Oregon,2003,9889,4524,5365,8479,3685,4794
University of Southern California,2003,29278,12918,16360,8753,3997,4756
University of Utah,2003,5842,2796,3046,5036,2410,2626
University of Washington-Seattle Campus,2003,15773,7505,8268,11156,4981,6175
Washington State University,2003,9213,4390,4823,7184,3260,3924
Arizona State University-Tempe,2002,18155,8423,9732,15385,6979,8406
Oregon State University,2002,6645,3276,3369,3402,1689,1713
Stanford University,2002,18599,9520,9079,2368,1196,1172
University of Arizona,2002,19832,9199,10633,16973,7654,9319
University of California-Berkeley,2002,36100,17728,18372,8912,3938,4974
University of California-Los Angeles,2002,40739,18589,22150,10953,4662,6291
University of Colorado Boulder,2002,19152,9661,9491,15341,7510,7831
University of Oregon,2002,8686,3902,4784,7819,3437,4382
University of Southern California,2002,28362,12441,15921,8620,3907,4713
University of Utah,2002,5802,2953,2849,5221,2657,2564
University of Washington-Seattle Campus,2002,15633,7510,8123,10787,4837,5950
Washington State University,2002,8932,4217,4715,6885,3092,3793
Arizona State University-Tempe,2001,20861,10072,10789,15702,7385,8317
Oregon State University,2001,6906,3541,3365,6041,3039,3002
Stanford University,2001,19052,9824,9228,2406,1227,1179
University of Arizona,2001,19719,9437,10282,16613,7764,8849
University of California-Berkeley,2001,32963,16424,16539,8715,3962,4753
University of California-Los Angeles,2001,40739,18589,22150,10953,4662,6291
University of Colorado Boulder,2001,18486,9213,9273,14637,7089,7548
University of Oregon,2001,8107,3626,4481,7305,3189,4116
University of Southern California,2001,26351,12172,14179,8973,4245,4728
University of Utah,2001,5926,3028,2898,5392,2728,2664
University of Washington-Seattle Campus,2001,14664,7002,7662,11523,5303,6220
Washington State University,2001,7958,3787,4171,6476,2975,3501
